node_id,observed_label,degree,is_poisoned,score_structure,score_input_spectrum,score_model_js,score_spectral_relation,score_transfer,score_combined,moment_0,moment_1,moment_2,moment_3,input_band_0,input_band_1,input_band_2,input_band_3,model_js_layer_1,model_js_layer_2,spectral_relation_layer_1,spectral_relation_layer_2,delta_gain_l1_b0,delta_gain_l1_b1,delta_gain_l1_b2,delta_gain_l1_b3,delta_gain_l2_b0,delta_gain_l2_b1,delta_gain_l2_b2,delta_gain_l2_b3
0,0,6,1,1.0435011684894562,0.6771076321601868,0.29117971658706665,0.22349395593829105,0.692385345697403,0.6259736050831153,1.1578225,1.5277971,2.0743322,2.8869007,0.9704305,0.013042356,0.00792059,0.008606558,5.8971214e-05,0.0012121918,0.0007572550093755126,0.007893277332186699,1.7254529,2.0107045,1.4735608,1.735259,6.040316,6.1115294,3.839872,3.3995705
1,4,3,0,1.9009597301483154,2.0423302352428436,0.2928938753902912,0.43098516970624046,0.8185312449932098,1.3068650771897263,1.6731954,2.928383,5.2063136,9.300469,0.64009017,0.060407646,0.053860378,0.2456418,0.0008172642,0.0016651279,0.001529525499790907,0.005850324872881174,1.4659767,2.0684786,0.9254484,1.2540035,4.027872,4.87033,3.0431337,3.3014655
2,4,5,0,0.7885261178016663,0.9012092351913452,0.5202718824148178,0.06603280256076614,0.9422789812088013,0.6087602706308474,1.3806123,2.078511,3.3176963,5.4603653,0.43485844,0.33866918,0.07451454,0.1519578,0.00067240593,0.00075072155,0.001785954344086349,0.009998119436204433,1.2312317,1.7177467,1.3953266,1.7228851,3.9176154,5.1450295,3.129879,3.9318953
3,0,1,0,2.0387423038482666,1.98357492685318,1.0792124271392822,0.47058578309597254,4.89079475402832,1.7779590438263444,1.4166666,2.8333333,5.6666665,11.333333,0.5937499,1.4437492e-07,1.4437492e-07,0.40624994,-1.06696465e-08,1.286228e-08,0.0008098918478935957,0.010248948819935322,1.0072107,0.0,0.0,0.0,3.965148,0.0,0.0,0.0
4,0,8,1,0.6272304654121399,0.47704578936100006,0.21822544932365417,0.0,0.6859470903873444,0.9406653211537164,1.4775108,1.9108218,2.5177324,3.3750916,0.90726215,0.05872486,0.024797924,0.009214962,0.00017455626,0.0010343005,0.0008689111564308405,0.007917247712612152,1.7560167,1.9560595,1.2547607,1.6271925,5.959303,6.1814613,3.6764736,4.6205945
5,2,3,0,0.6393887400627136,1.4110589027404785,0.7279314696788788,5.0929352199842075,2.5834901332855225,0.3413487960781295,1.3736624,1.9922023,2.962896,4.4907956,0.4937163,0.10040347,0.22539721,0.18048291,0.00061580876,0.0005072828,1.090171281248331e-05,0.011461790651082993,0.6952195,1.5643444,1.8431053,1.6961098,3.5072527,4.6170917,2.7248306,3.524212
6,0,4,0,0.67448890209198,10.0,3.6151727735996246,5.019742818466211,10.0,4.27085274654033,1.1924496,1.4914426,1.9808711,2.7604456,0.35813272,0.25348777,0.26339844,0.12498112,8.218223e-05,0.0041940296,0.001708376919850707,0.015343432314693928,1.0688391,0.9888849,0.5882797,0.9605999,3.5658464,4.459262,2.194151,1.9023733
7,0,4,1,0.9648998975753784,0.5199268162250519,0.5463670939207077,0.475242507944809,0.7617256343364716,0.37066945044825717,1.5191832,2.3856146,3.794053,6.069574,0.98622984,0.0057156784,0.00047526424,0.007579262,1.1554828e-05,0.00040156487,0.0006893424433656037,0.008215419948101044,1.7336247,1.6348681,1.6854072,1.3929596,6.226468,5.257028,5.614443,4.767614
8,3,3,0,1.04695463180542,0.8256171345710754,0.08272571861743927,1.1450864640943632,1.6016622185707092,0.590181563738163,1.1320668,1.4340855,1.9544358,2.8227844,0.42974466,0.23766178,0.20689134,0.12570222,0.00079021155,0.0019849346,0.0019010978285223246,0.012827515602111816,0.9332423,1.8684359,1.2611208,1.2110376,3.471305,4.8133926,4.4934673,2.4926844
9,2,2,0,0.2150634080171585,0.6991127729415894,0.7460977137088776,5.037063922890099,2.6104641258716583,0.40510536001789,1.21028,1.7026352,2.475722,3.656833,0.41714615,0.16593377,0.2394527,0.17746739,0.000503603,0.00055509474,9.79289470706135e-05,0.011004150845110416,0.6627898,1.3397369,1.3431263,0.8725319,3.9349856,4.756251,3.8043985,3.2132988
10,0,2,0,1.4289485812187195,1.2429758310317993,0.39435306191444397,0.37244840214394104,1.0742460787296295,0.5875411993498039,1.4354305,2.5029788,4.4124846,7.80815,0.5602122,0.059660066,0.057843175,0.32228446,0.0016840538,0.004444084,0.003005505306646228,0.0064395940862596035,1.3135872,2.2042742,1.2618933,1.7113762,3.8199463,5.1969423,3.0621195,2.7626448
11,0,2,0,1.0238417088985443,0.5457154959440231,4.9663838148117065,0.6225706434926506,1.3779380917549133,2.1856070590920185,1.0550677,1.292415,1.6946822,2.3402274,0.3991592,0.22232291,0.23480438,0.14371356,0.006657295,0.01934648,0.001325463061220944,0.0009761002729646862,1.148314,2.553052,1.3475962,1.2400093,3.7088642,6.11463,2.8805022,2.2531738
12,4,4,0,0.6993920207023621,1.1159159243106842,0.7039036303758621,0.09157203616432182,3.5004143714904785,0.7786302587092361,1.458765,2.0768926,2.9855416,4.326882,0.73633987,0.02516751,0.12102114,0.117471546,0.000118140364,0.00089994515,0.0021955601405352354,0.009753484278917313,1.8472223,2.1327562,1.619585,1.3137455,4.8289423,3.1296692,3.0636873,3.0280523
13,3,2,0,3.1252509355545044,3.3162600994110107,3.534440815448761,10.0,0.9440665543079376,5.098132547458051,1.0673124,1.1396283,1.2546333,1.4361893,0.1320514,0.39737123,0.38824293,0.082334444,8.35869e-05,0.01379738,0.016835710033774376,0.12162893265485764,1.0096364,1.0241022,1.0028114,0.93665886,3.3382607,3.79838,2.3565073,2.29323
14,3,5,0,0.5867967456579208,0.8509423732757568,0.5609671175479889,0.7289560021001887,1.9048229455947876,0.3636842187248186,1.304706,1.7433137,2.4385574,3.5116007,0.4256883,0.20958947,0.23477536,0.12994687,0.0002365188,0.00085467775,0.0008729230612516403,0.011440672911703587,1.1262498,0.52974796,0.5099745,0.81886196,3.3552785,4.791175,2.379053,1.7838793
15,3,4,0,1.8625589609146118,2.355284869670868,0.556778222322464,0.4887831150088032,1.3152820467948914,0.7343027674211757,1.1113328,1.3234307,1.6157812,2.0161297,0.6711097,0.19064099,0.10845939,0.029789915,0.0012719333,0.0013204836,0.002539120614528656,0.011399395763874054,1.0252814,2.3102865,1.689084,1.2743149,3.3731198,4.8073673,2.6901436,2.4971142
16,2,4,0,0.41508595645427704,0.9045004844665527,0.6673181354999542,5.410639608955875,2.718876600265503,0.5333354713181502,1.2010463,1.6653627,2.477065,3.8543196,0.44626445,0.18161362,0.15333652,0.21878543,0.00067560544,2.336998e-05,0.0005360775394365191,0.009687471203505993,0.4629078,0.64585114,1.1151533,2.0787134,3.4512959,3.2966719,3.566928,3.1246042
17,3,5,0,2.2767075300216675,1.1753615736961365,0.7402905523777008,0.7852096863519481,1.8674967288970947,0.46564911868464653,1.4486638,2.1002362,3.2218244,5.137329,0.6584048,0.1179681,0.09777035,0.12585667,0.0002475511,0.00016446137,0.001495744101703167,0.012051771394908428,1.069664,0.37216473,1.1977568,1.664052,3.5888467,4.885311,3.371399,3.4552565
