node_id,observed_label,degree,is_poisoned,score_structure,score_input_spectrum,score_model_js,score_spectral_relation,score_transfer,score_combined,moment_0,moment_1,moment_2,moment_3,input_band_0,input_band_1,input_band_2,input_band_3,model_js_layer_1,model_js_layer_2,spectral_relation_layer_1,spectral_relation_layer_2,delta_gain_l1_b0,delta_gain_l1_b1,delta_gain_l1_b2,delta_gain_l1_b3,delta_gain_l2_b0,delta_gain_l2_b1,delta_gain_l2_b2,delta_gain_l2_b3
0,0,9,0,1.9269872307777405,0.6305079758167267,1.2710600942373276,0.6024112402658323,3.660381317138672,0.6777157282355142,1.2594424,1.5517813,1.9847893,2.6112149,0.98336506,0.006693119,0.0063437475,0.0035981012,0.0001848649,0.0007661113,0.005532309878617525,0.0014459992526099086,1.4663341,1.2344532,0.043416977,-0.056717873,3.330208,5.87401,3.3775988,3.9211855
4,0,12,1,2.3387749791145325,0.5338305234909058,0.9907283782958984,0.6022892952501251,3.13470458984375,0.5351231598949718,1.2387484,1.6050038,2.1439688,2.9235697,0.9204,0.071946785,0.0069745285,0.00067868026,7.862938e-05,0.0039563403,0.00571218179538846,0.0011808952549472451,1.0469229,1.210052,1.1647601,1.616663,2.6909978,4.150755,3.044248,2.3692307
7,0,7,0,0.5509139001369476,0.5720148682594299,1.8123131543397903,0.5585218278861206,1.0277741849422455,0.6123001825189524,1.0437386,1.2716272,1.6515392,2.2330604,0.96304846,0.032087833,0.0032773816,0.0015861497,6.154047e-05,0.0015194495,0.005832620896399021,0.0013670013286173344,1.5097117,1.6655769,1.3355904,0.9222517,3.4335532,4.86682,3.6455631,2.2526865
11,2,13,0,0.4022025465965271,0.6997070610523224,0.4965530037879944,0.15211753831801317,1.5105443000793457,0.7854442509948572,1.0620669,1.2469318,1.5349997,1.9600425,0.9543264,0.021665143,0.017963093,0.006045325,0.0013012246,0.00017327821,0.0078283017501235,0.0002865017158910632,2.2733982,1.5183945,0.42557716,0.31913567,3.544132,3.8431954,2.5485039,3.0041723
13,0,12,0,1.2939924001693726,0.6879554390907288,0.2617241144180298,0.6210111077740201,7.000351428985596,0.9440041853359673,1.0266857,1.1863092,1.4375011,1.8061146,0.9865625,0.004568059,0.006936292,0.0019331825,2.5414332e-05,0.0011801785,0.005980753339827061,0.0016809303779155016,1.5205896,1.660842,1.0829878,0.8677921,3.4830496,6.3045077,1.3912792,1.275464
15,0,4,0,1.917625904083252,7.948997259140015,5.010851590894163,10.0,5.762062072753906,5.436576321799434,1.0235087,1.1416297,1.3285798,1.5987307,0.7336598,0.11934123,0.107253864,0.039745115,0.0010895948,0.000706057,0.018484441563487053,0.007855309173464775,1.6488466,1.498169,1.1114149,0.82411194,3.3134995,3.3469791,2.5016909,2.6046925
16,1,9,0,0.1741851605474949,0.3357335105538368,0.5081407278776169,0.4411494866210008,3.441753625869751,0.7703832183032725,1.1158583,1.3062571,1.6004691,2.0260744,0.9205176,0.03887183,0.02745311,0.013157427,0.0008062578,0.008278404,0.00017273220873903483,0.0,0.9888301,2.0538135,0.6429634,0.96052074,2.3458114,6.683666,5.2387958,4.32384
19,2,9,0,0.16484150663018227,0.7784370481967926,0.4082164317369461,0.5349498010436371,2.639460027217865,0.8365368749196872,1.0364797,1.1942276,1.4436358,1.805944,0.95674384,0.03859749,0.0027881272,0.0018706328,0.002488758,0.0003616305,0.00831806194037199,0.0003239071520511061,2.2093866,1.2664752,0.8296032,2.0771666,3.5923128,4.017487,2.4753847,2.847168
24,0,6,0,0.6518974006175995,0.2559104561805725,0.7311947345733643,0.8975115824911319,1.2212053835391998,0.530902199467062,1.1557697,1.388332,1.7419215,2.252279,0.94916975,0.030937642,0.016665969,0.0032265685,8.688003e-05,0.00089559297,0.006481905467808247,0.0013972391607239842,1.5026402,1.7834902,1.571989,1.5080233,3.4213762,4.686686,2.4052472,2.663906
26,0,6,0,0.8110074698925018,2.792472720146179,1.8792336583137512,4.6311311712856735,1.854267418384552,1.7197446995709011,1.107519,1.273156,1.5262933,1.8931149,0.879202,0.05751999,0.047646075,0.015631944,7.802248e-06,0.0014532763,0.0059022908098995686,0.002576112747192383,1.4964406,1.5919857,1.5078125,1.5304451,3.2458477,4.7131653,1.9254441,1.2234039
