node_id,observed_label,degree,is_poisoned,score_structure,score_input_spectrum,score_model_js,score_spectral_relation,score_transfer,score_combined,moment_0,moment_1,moment_2,moment_3,input_band_0,input_band_1,input_band_2,input_band_3,model_js_layer_1,model_js_layer_2,spectral_relation_layer_1,spectral_relation_layer_2,delta_gain_l1_b0,delta_gain_l1_b1,delta_gain_l1_b2,delta_gain_l1_b3,delta_gain_l2_b0,delta_gain_l2_b1,delta_gain_l2_b2,delta_gain_l2_b3
0,3,3,0,0.6558050215244293,0.8322033882141113,0.13082221150398254,0.5935316598061375,4.915837287902832,1.443021600187699,1.3538448,1.8943329,2.7847016,4.235044,0.45813704,0.14676669,0.21332344,0.18177275,0.00022431304,0.00091633154,0.0006564813666045666,0.014784298837184906,1.8672161,1.8949881,1.0478439,0.0022850037,4.2055693,5.518875,6.0093956,3.6800852
1,4,3,0,1.8864214420318604,1.6714646816253662,0.22244664281606674,1.1865896674199554,0.9477104842662811,0.9887544850639355,1.5192146,2.5981205,4.5619884,8.091863,0.65179485,0.05247263,0.04613711,0.24959543,0.00060418376,0.0033361232,2.9970706236781552e-05,0.00483767269179225,1.9049482,2.4542122,1.5988264,1.7074604,4.126049,5.372816,3.2525692,3.1138287
2,4,5,0,1.3156954646110535,0.7494209408760071,0.3246397227048874,0.3447322936759628,2.6379334330558777,0.5615893884842783,1.4397615,2.292179,3.8148363,6.493799,0.5422015,0.1387731,0.12606552,0.19295992,0.00036219344,0.0031067864,0.0006137883174233139,0.007782507222145796,1.8138947,2.2801476,1.8827133,0.82470226,4.0224204,6.877109,3.2932658,4.4952097
3,0,1,0,2.4537206888198853,3.2015355825424194,0.8735699951648712,0.7514360172274427,5.157703638076782,1.7563392083425822,2.0833333,4.1666665,8.333333,16.666666,0.5937499,1.4437492e-07,1.4437492e-07,0.40624994,5.4829442e-08,1.4621987e-08,0.0006007715710438788,0.007154518272727728,1.6737871,0.0,0.0,0.0,4.4379287,0.0,0.0,0.0
4,3,5,0,0.4879050850868225,0.8758751153945923,0.5694252699613571,0.3590369784615755,1.542320728302002,0.2656083593238401,1.1895443,1.5059185,1.9836465,2.7008972,0.56311494,0.14486459,0.20813045,0.0838899,0.00012922377,0.00027212026,0.001176025252789259,0.014833803288638592,1.6303177,2.049264,1.1813307,1.5199347,3.8729253,4.3125486,4.20294,2.4469872
5,2,3,0,0.9193837940692902,1.2713090777397156,0.6090878248214722,0.16011646205871086,2.753948926925659,0.47303618498561806,1.266478,1.8246561,2.7124712,4.124888,0.4937163,0.10040347,0.22539721,0.18048291,0.0002748788,0.0004322693,0.0007192731136456132,0.02710200846195221,1.5588565,1.9456463,2.7583685,2.0049314,3.9000793,4.8575244,3.0148964,4.200697
6,0,4,0,4.025657415390015,10.0,5.211101770401001,2.3673518059585463,6.471405863761902,5.713847714208911,1.1723651,1.4486727,1.8996879,2.619086,0.35813272,0.25348777,0.26339844,0.12498112,0.00015040825,0.0026511017,0.0007712861988693476,0.010981690138578415,1.6386437,1.4143534,1.0198641,1.712367,3.788103,3.9516907,3.0651178,2.1862097
7,3,1,0,3.781797409057617,4.450951814651489,0.972122073173523,0.4735512316779075,6.136432886123657,4.409782650275,1.9166666,3.8333333,7.6666665,15.333333,0.5,3.5e-08,3.5e-08,0.5,9.1249376e-08,1.0906421e-08,0.0010807225480675697,0.01547018252313137,2.385128,0.0,0.0,0.0,4.6410666,0.0,0.0,0.0
8,3,3,0,0.0021630139090120792,1.417149841785431,0.59431591629982,1.1565220984341709,2.0727888643741608,0.871620121500032,1.2001638,1.6020001,2.316602,3.5587835,0.4300498,0.23723647,0.20687227,0.12584151,0.00013200002,0.0024769031,0.0005227767396718264,0.016436191275715828,1.7533779,1.8292408,2.034504,1.993659,4.095491,4.164913,5.5753565,2.260147
9,2,2,0,1.268180787563324,0.6259143650531769,0.7325968742370605,0.6282781293059995,2.4529354572296143,0.4255619614324962,1.3414363,1.9627222,2.9408314,4.458241,0.41714615,0.16593377,0.2394527,0.17746739,2.3898796e-05,0.0005949631,0.001842415425926447,0.02748272195458412,1.5150914,1.4867897,1.2052689,1.4231472,4.365902,5.0195737,3.9066687,3.424221
